NUMBER,ENGLISH_WORD,POS,NUMBER_OF_TRANSLATIONS,AMBIGUITY,AMBIGUITY_SOURCE
116,leader,noun,4,Ambiguous,Form
116,leader,noun,4,Ambiguous,Form
116,leader,noun,4,Ambiguous,Form
116,leader,noun,4,Ambiguous,Form
202,leg,noun,1,Unambiguous,
294,lemon,noun,1,Unambiguous,
390,lens,noun,4,Ambiguous,Form and Meaning
390,lens,noun,4,Ambiguous,Form and Meaning
390,lens,noun,4,Ambiguous,Form and Meaning
390,lens,noun,4,Ambiguous,Form and Meaning
298,lesson,noun,1,Unambiguous,
160,lie,noun,5,Ambiguous,Form and Meaning
160,lie,noun,5,Ambiguous,Form and Meaning
160,lie,verb,5,Ambiguous,Form and Meaning
160,lie,verb,5,Ambiguous,Form and Meaning
160,lie,verb,5,Ambiguous,Form and Meaning
365,lightning,noun,2,Ambiguous,Form
365,lightning,noun,2,Ambiguous,Form
351,lion,noun,2,Ambiguous,Form
351,lion,noun,2,Ambiguous,Form
471,loan,noun,1,Unambiguous,
363,luck,noun,3,Ambiguous,Form and Meaning
363,luck,noun,3,Ambiguous,Form and Meaning
363,luck,noun,3,Ambiguous,Form and Meaning
11,maid,noun,4,Ambiguous,Form
11,maid,noun,4,Ambiguous,Form
11,maid,noun,4,Ambiguous,Form
11,maid,noun,4,Ambiguous,Form
466,mail,noun / verb,2,Ambiguous,Meaning
466,mail,noun,2,Ambiguous,Meaning
150,majority,noun,4,Ambiguous,Form and Meaning
150,majority,adjective,4,Ambiguous,Form and Meaning
150,majority,noun,4,Ambiguous,Form and Meaning
150,majority,noun,4,Ambiguous,Form and Meaning
237,manner,noun,3,Ambiguous,Form and Meaning
237,manner,noun,3,Ambiguous,Form and Meaning
237,manner,noun,3,Ambiguous,Form and Meaning
393,map,noun,1,Unambiguous,
355,mask,noun,2,Ambiguous,Meaning
355,mask,noun,2,Ambiguous,Meaning
421,master,noun,4,Ambiguous,Meaning
421,master,noun,4,Ambiguous,Meaning
421,master,adjective,4,Ambiguous,Meaning
421,master,noun,4,Ambiguous,Meaning
360,meaning,noun,2,Ambiguous,Meaning
360,meaning,noun,2,Ambiguous,Meaning
147,meat,noun,1,Unambiguous,
535,medal,noun,1,Unambiguous,
154,meeting,noun,4,Ambiguous,Form and Meaning
154,meeting,noun,4,Ambiguous,Form and Meaning
154,meeting,noun,4,Ambiguous,Form and Meaning
154,meeting,noun,4,Ambiguous,Form and Meaning
137,memory,noun,3,Ambiguous,Form
137,memory,noun,3,Ambiguous,Form
137,memory,noun,3,Ambiguous,Form
241,mercy,verb,2,Ambiguous,Meaning
241,mercy,noun,2,Ambiguous,Meaning
503,message,noun,3,Ambiguous,Form and Meaning
503,message,noun,3,Ambiguous,Form and Meaning
503,message,noun,3,Ambiguous,Form and Meaning
512,metal,noun,1,Unambiguous,
540,method,noun,2,Ambiguous,Form
540,method,noun,2,Ambiguous,Form
229,middle,noun,3,Ambiguous,Form and Meaning
229,middle,noun,3,Ambiguous,Form and Meaning
229,middle,adjective,3,Ambiguous,Form and Meaning
91,mile,noun,1,Unambiguous,
523,mill,noun,2,Ambiguous,Form
523,mill,noun,2,Ambiguous,Form
399,mirror,noun,1,Unambiguous,
492,mode,noun,2,Ambiguous,Meaning
492,mode,noun,2,Ambiguous,Meaning
412,money,noun,2,Ambiguous,Form
412,money,noun,2,Ambiguous,Form
41,monk,noun,2,Ambiguous,Form
41,monk,noun,2,Ambiguous,Form
275,monkey,noun,2,Ambiguous,Form
275,monkey,noun,2,Ambiguous,Form
354,moon,noun,3,Ambiguous,Form
354,moon,noun,3,Ambiguous,Form
354,moon,noun,3,Ambiguous,Form
210,mother,noun,3,Ambiguous,Form
210,mother,noun,3,Ambiguous,Form
210,mother,noun,3,Ambiguous,Form
194,motive,noun,1,Unambiguous,
435,mountain,noun,1,Unambiguous,
185,mouse,noun,2,Ambiguous,Form
185,mouse,noun,2,Ambiguous,Form
140,moustache,noun,3,Ambiguous,Form
140,moustache,noun,3,Ambiguous,Form
140,moustache,noun,3,Ambiguous,Form
85,mouth,noun,3,Ambiguous,Form and Meaning
85,mouth,noun,3,Ambiguous,Form and Meaning
85,mouth,noun,3,Ambiguous,Form and Meaning
13,movie,noun,1,Unambiguous,
179,mud,noun,4,Ambiguous,Form and Meaning
179,mud,noun,4,Ambiguous,Form and Meaning
179,mud,noun,4,Ambiguous,Form and Meaning
179,mud,noun,4,Ambiguous,Form and Meaning
484,mule,noun,2,Ambiguous,Form
484,mule,noun,2,Ambiguous,Form
192,murderer,noun,5,Ambiguous,Form
192,murderer,noun,5,Ambiguous,Form
192,murderer,noun,5,Ambiguous,Form
192,murderer,noun,5,Ambiguous,Form
192,murderer,noun,5,Ambiguous,Form
259,music,noun,1,Unambiguous,
252,name,noun,1,Unambiguous,
531,nature,noun,1,Unambiguous,
262,necessity,adverb,6,Ambiguous,Form and Meaning
262,necessity,noun,6,Ambiguous,Form and Meaning
262,necessity,noun,6,Ambiguous,Form and Meaning
262,necessity,noun,6,Ambiguous,Form and Meaning
262,necessity,noun,6,Ambiguous,Form and Meaning
262,necessity,noun,6,Ambiguous,Form and Meaning
135,neck,noun,1,Unambiguous,
64,needle,noun,1,Unambiguous,
372,negro,noun,1,Unambiguous,
293,newspaper,noun,1,Unambiguous,
289,nice,adjective,3,Ambiguous,Form
289,nice,adjective,3,Ambiguous,Form
289,nice,adjective,3,Ambiguous,Form
341,night,noun,4,Ambiguous,Form
341,night,noun,4,Ambiguous,Form
341,night,noun,4,Ambiguous,Form
341,night,noun,4,Ambiguous,Form
431,noble,adjective,5,Ambiguous,Form and Meaning
431,noble,adjective,5,Ambiguous,Form and Meaning
431,noble,adjective,5,Ambiguous,Form and Meaning
431,noble,adjective,5,Ambiguous,Form and Meaning
431,noble,adjective,5,Ambiguous,Form and Meaning
537,noise,noun,2,Ambiguous,Meaning
537,noise,noun,2,Ambiguous,Meaning
494,nonsense,noun,4,Ambiguous,Form and Meaning
494,nonsense,noun,4,Ambiguous,Form and Meaning
494,nonsense,noun,4,Ambiguous,Form and Meaning
494,nonsense,verb,4,Ambiguous,Form and Meaning
124,nose,noun,2,Ambiguous,Form
124,nose,noun,2,Ambiguous,Form
343,nurse,verb,2,Ambiguous,Meaning
343,nurse,noun,2,Ambiguous,Meaning
176,oat,noun,1,Unambiguous,
45,oath,noun,2,Ambiguous,Form
45,oath,noun,2,Ambiguous,Form
214,odd,adjective,6,Ambiguous,Form and Meaning
214,odd,noun,6,Ambiguous,Form and Meaning
214,odd,adjective,6,Ambiguous,Form and Meaning
214,odd,adjective,6,Ambiguous,Form and Meaning
214,odd,adjective,6,Ambiguous,Form and Meaning
214,odd,adjective,6,Ambiguous,Form and Meaning
502,office,noun,1,Unambiguous,
475,opinion,noun,4,Ambiguous,Form and Meaning
475,opinion,noun,4,Ambiguous,Form and Meaning
475,opinion,noun,4,Ambiguous,Form and Meaning
475,opinion,noun,4,Ambiguous,Form and Meaning
217,opportunity,noun,1,Unambiguous,
55,order,noun,7,Ambiguous,Form and Meaning
55,order,verb,7,Ambiguous,Form and Meaning
55,order,noun,7,Ambiguous,Form and Meaning
55,order,noun / verb,7,Ambiguous,Form and Meaning
55,order,noun,7,Ambiguous,Form and Meaning
55,order,noun / verb,7,Ambiguous,Form and Meaning
55,order,noun,7,Ambiguous,Form and Meaning
443,owner,noun,3,Ambiguous,Form
443,owner,noun,3,Ambiguous,Form
443,owner,noun,3,Ambiguous,Form
244,paint,verb,3,Ambiguous,Form and Meaning
244,paint,verb,3,Ambiguous,Form and Meaning
244,paint,noun,3,Ambiguous,Form and Meaning
368,pair,noun,5,Ambiguous,Form and Meaning
368,pair,noun / verb,5,Ambiguous,Form and Meaning
368,pair,noun,5,Ambiguous,Form and Meaning
368,pair,noun,5,Ambiguous,Form and Meaning
368,pair,noun,5,Ambiguous,Form and Meaning
373,panic,noun,2,Ambiguous,Form
373,panic,noun,2,Ambiguous,Form
173,pants,noun,4,Ambiguous,Form and Meaning
173,pants,noun,4,Ambiguous,Form and Meaning
173,pants,noun,4,Ambiguous,Form and Meaning
173,pants,noun,4,Ambiguous,Form and Meaning
68,part,noun,1,Unambiguous,
432,passion,noun,2,Ambiguous,Form
432,passion,noun,2,Ambiguous,Form
238,patience,noun,1,Unambiguous,
449,peace,noun,1,Unambiguous,
497,peach,noun,2,Ambiguous,Form
497,peach,noun,2,Ambiguous,Form
352,pear,noun,2,Ambiguous,Form
352,pear,noun,2,Ambiguous,Form
218,pearl,noun,1,Unambiguous,
271,pen,noun,1,Unambiguous,
205,pencil,noun,2,Ambiguous,Form
205,pencil,noun,2,Ambiguous,Form
33,people,noun,4,Ambiguous,Form and Meaning
33,people,noun,4,Ambiguous,Form and Meaning
33,people,noun,4,Ambiguous,Form and Meaning
33,people,noun,4,Ambiguous,Form and Meaning
528,pepper,noun,1,Unambiguous,
348,pie,noun,2,Ambiguous,Meaning
348,pie,noun,2,Ambiguous,Meaning
6,piece,noun,4,Ambiguous,Meaning
6,piece,noun,4,Ambiguous,Meaning
6,piece,noun,4,Ambiguous,Meaning
6,piece,noun,4,Ambiguous,Meaning
69,pig,noun,1,Unambiguous,
201,pigeon,noun,1,Unambiguous,
144,pile,noun,1,Unambiguous,
389,pillow,noun,1,Unambiguous,
357,pin,noun,2,Ambiguous,Meaning
357,pin,noun,2,Ambiguous,Meaning
59,pine,noun,2,Ambiguous,Form
59,pine,noun,2,Ambiguous,Form
548,pipe,noun,3,Ambiguous,Form and Meaning
548,pipe,noun,3,Ambiguous,Form and Meaning
548,pipe,noun,3,Ambiguous,Form and Meaning
541,pirate,noun,1,Unambiguous,
325,pity,verb,2,Ambiguous,Meaning
325,pity,noun,2,Ambiguous,Meaning
375,plan,noun / verb,1,Unambiguous,
122,pole,noun,2,Ambiguous,Meaning
122,pole,noun,2,Ambiguous,Meaning
178,police,noun,1,Unambiguous,
103,pope,noun,1,Unambiguous,
145,possession,noun,4,Ambiguous,Form and Meaning
145,possession,noun,4,Ambiguous,Form and Meaning
145,possession,noun,4,Ambiguous,Form and Meaning
145,possession,noun,4,Ambiguous,Form and Meaning
493,possibility,noun,2,Ambiguous,Form
493,possibility,noun,2,Ambiguous,Form
477,potato,noun,1,Unambiguous,
4,pound,noun,2,Ambiguous,Meaning
4,pound,noun,2,Ambiguous,Meaning
74,power,noun,2,Ambiguous,Form
74,power,noun,2,Ambiguous,Form
527,pox,noun,1,Unambiguous,
440,price,noun,3,Ambiguous,Form and Meaning
440,price,noun,3,Ambiguous,Form and Meaning
440,price,noun,3,Ambiguous,Form and Meaning
501,pride,noun,1,Unambiguous,
172,prince,noun,1,Unambiguous,
436,principle,noun,2,Ambiguous,Meaning
436,principle,noun,2,Ambiguous,Meaning
151,progress,noun,4,Ambiguous,Form and Meaning
151,progress,noun / verb,4,Ambiguous,Form and Meaning
151,progress,noun,4,Ambiguous,Form and Meaning
151,progress,noun / verb,4,Ambiguous,Form and Meaning
120,promise,verb,5,Ambiguous,Form and Meaning
120,promise,noun / verb,5,Ambiguous,Form and Meaning
120,promise,verb,5,Ambiguous,Form and Meaning
120,promise,verb,5,Ambiguous,Form and Meaning
120,promise,verb,5,Ambiguous,Form and Meaning
383,proof,noun,3,Ambiguous,Meaning
383,proof,noun,3,Ambiguous,Meaning
383,proof,noun,3,Ambiguous,Meaning
490,proposal,noun / verb,5,Ambiguous,Meaning
490,proposal,noun,5,Ambiguous,Meaning
490,proposal,noun,5,Ambiguous,Meaning
490,proposal,noun,5,Ambiguous,Meaning
490,proposal,noun,5,Ambiguous,Meaning
131,protection,noun,2,Ambiguous,Meaning
131,protection,noun,2,Ambiguous,Meaning
146,public,adjective,6,Ambiguous,Form and Meaning
146,public,adjective,6,Ambiguous,Form and Meaning
146,public,adjective,6,Ambiguous,Form and Meaning
146,public,adjective,6,Ambiguous,Form and Meaning
146,public,noun,6,Ambiguous,Form and Meaning
146,public,adjective,6,Ambiguous,Form and Meaning
52,quality,noun,2,Ambiguous,Meaning
52,quality,noun,2,Ambiguous,Meaning
424,quarrel,noun / verb,4,Ambiguous,Form
424,quarrel,noun / verb,4,Ambiguous,Form
424,quarrel,noun,4,Ambiguous,Form
424,quarrel,noun / verb,4,Ambiguous,Form
73,queen,noun,4,Ambiguous,Form
73,queen,noun,4,Ambiguous,Form
73,queen,noun,4,Ambiguous,Form
73,queen,noun,4,Ambiguous,Form
460,question,noun,1,Unambiguous,
115,rabbit,noun,2,Ambiguous,Form
115,rabbit,noun,2,Ambiguous,Form
533,rail,noun,4,Ambiguous,Meaning
533,rail,noun,4,Ambiguous,Meaning
533,rail,noun,4,Ambiguous,Meaning
533,rail,verb,4,Ambiguous,Meaning
155,rain,verb,2,Ambiguous,Meaning
155,rain,noun,2,Ambiguous,Meaning
141,raw,adjective,3,Ambiguous,Form and Meaning
141,raw,adjective,3,Ambiguous,Form and Meaning
141,raw,adjective,3,Ambiguous,Form and Meaning
47,reason,noun,2,Ambiguous,Form
47,reason,noun,2,Ambiguous,Form
558,recovery,noun,3,Ambiguous,Form and Meaning
558,recovery,noun,3,Ambiguous,Form and Meaning
558,recovery,noun,3,Ambiguous,Form and Meaning
93,regret,verb,2,Ambiguous,Meaning
93,regret,noun,2,Ambiguous,Meaning
311,respect,noun / verb,2,Ambiguous,Meaning
311,respect,verb,2,Ambiguous,Meaning
413,result,noun,1,Unambiguous,
498,revenge,noun,3,Ambiguous,Form and Meaning
498,revenge,noun / verb,3,Ambiguous,Form and Meaning
498,revenge,noun,3,Ambiguous,Form and Meaning
406,rhythm,noun,2,Ambiguous,Meaning
406,rhythm,noun,2,Ambiguous,Meaning
388,rice,noun,3,Ambiguous,Form
388,rice,noun,3,Ambiguous,Form
388,rice,noun,3,Ambiguous,Form
95,riddle,noun,2,Ambiguous,Meaning
95,riddle,noun,2,Ambiguous,Meaning
65,rifle,noun,3,Ambiguous,Form
65,rifle,noun,3,Ambiguous,Form
65,rifle,noun,3,Ambiguous,Form
111,riot,verb,2,Ambiguous,Meaning
111,riot,noun,2,Ambiguous,Meaning
426,river,noun,4,Ambiguous,Form
426,river,noun,4,Ambiguous,Form
426,river,noun,4,Ambiguous,Form
426,river,noun,4,Ambiguous,Form
292,road,noun,4,Ambiguous,Form
292,road,noun,4,Ambiguous,Form
292,road,noun,4,Ambiguous,Form
292,road,noun,4,Ambiguous,Form
15,roof,noun,3,Ambiguous,Form
15,roof,noun,3,Ambiguous,Form
15,roof,noun,3,Ambiguous,Form
161,room,noun,3,Ambiguous,Meaning
161,room,noun,3,Ambiguous,Meaning
161,room,noun,3,Ambiguous,Meaning
517,rope,noun,2,Ambiguous,Form
517,rope,noun,2,Ambiguous,Form
457,rose,noun,1,Unambiguous,
507,rough,adjective,6,Ambiguous,Form and Meaning
507,rough,adjective,6,Ambiguous,Form and Meaning
507,rough,adjective,6,Ambiguous,Form and Meaning
507,rough,adjective,6,Ambiguous,Form and Meaning
507,rough,adjective,6,Ambiguous,Form and Meaning
507,rough,adjective,6,Ambiguous,Form and Meaning
20,rule,noun,2,Ambiguous,Meaning
20,rule,noun / verb,2,Ambiguous,Meaning
369,rumour,noun,5,Ambiguous,Form
369,rumour,noun,5,Ambiguous,Form
369,rumour,noun,5,Ambiguous,Form
369,rumour,noun,5,Ambiguous,Form
369,rumour,noun,5,Ambiguous,Form
376,sacrifice,verb,2,Ambiguous,Meaning
376,sacrifice,verb,2,Ambiguous,Meaning
546,sail,noun,2,Ambiguous,Meaning
546,sail,verb,2,Ambiguous,Meaning
485,salt,noun,1,Unambiguous,
175,sauce,noun,3,Ambiguous,Form
175,sauce,noun,3,Ambiguous,Form
175,sauce,noun,3,Ambiguous,Form
79,scandal,noun,1,Unambiguous,
465,scar,noun,2,Ambiguous,Form
465,scar,noun,2,Ambiguous,Form
319,scarf,noun,1,Unambiguous,
168,science,noun,1,Unambiguous,
333,scissors,noun,1,Unambiguous,
112,sea,noun,3,Ambiguous,Form
112,sea,noun,3,Ambiguous,Form
112,sea,noun,3,Ambiguous,Form
53,season,noun,1,Unambiguous,
534,shame,noun,4,Ambiguous,Form and Meaning
534,shame,noun,4,Ambiguous,Form and Meaning
534,shame,noun,4,Ambiguous,Form and Meaning
534,shame,noun,4,Ambiguous,Form and Meaning
256,shape,noun,2,Ambiguous,Form
256,shape,noun,2,Ambiguous,Form
506,shark,noun,1,Unambiguous,
285,sheep,noun,2,Ambiguous,Form
285,sheep,noun,2,Ambiguous,Form
318,sheet,noun,5,Ambiguous,Form and Meaning
318,sheet,noun,5,Ambiguous,Form and Meaning
318,sheet,noun,5,Ambiguous,Form and Meaning
318,sheet,noun,5,Ambiguous,Form and Meaning
318,sheet,noun,5,Ambiguous,Form and Meaning
177,shoe,noun,2,Ambiguous,Form
177,shoe,noun,2,Ambiguous,Form
312,shop,noun,3,Ambiguous,Form and Meaning
312,shop,noun / verb,3,Ambiguous,Form and Meaning
312,shop,noun,3,Ambiguous,Form and Meaning
195,shortage,noun,2,Ambiguous,Form
195,shortage,verb,2,Ambiguous,Form
43,shoulder,noun,2,Ambiguous,Form
43,shoulder,noun,2,Ambiguous,Form
286,shy,adjective,2,Ambiguous,Form
286,shy,adjective,2,Ambiguous,Form
70,sign,noun,6,Ambiguous,Form and Meaning
70,sign,noun,6,Ambiguous,Form and Meaning
70,sign,noun,6,Ambiguous,Form and Meaning
70,sign,noun,6,Ambiguous,Form and Meaning
70,sign,verb,6,Ambiguous,Form and Meaning
70,sign,verb,6,Ambiguous,Form and Meaning
342,signature,noun,2,Ambiguous,Meaning
342,signature,noun,2,Ambiguous,Meaning
163,silence,adjective,5,Ambiguous,Form and Meaning
163,silence,adjective,5,Ambiguous,Form and Meaning
163,silence,noun,5,Ambiguous,Form and Meaning
163,silence,noun,5,Ambiguous,Form and Meaning
163,silence,noun,5,Ambiguous,Form and Meaning
402,silk,noun,3,Ambiguous,Meaning
402,silk,noun,3,Ambiguous,Meaning
402,silk,adjective,3,Ambiguous,Meaning
556,silver,noun,2,Ambiguous,Meaning
556,silver,adjective,2,Ambiguous,Meaning
407,simplicity,noun,2,Ambiguous,Form
407,simplicity,noun,2,Ambiguous,Form
114,sin,noun,1,Unambiguous,
384,sister,noun,2,Ambiguous,Meaning
384,sister,noun,2,Ambiguous,Meaning
417,size,noun,3,Ambiguous,Form and Meaning
417,size,noun,3,Ambiguous,Form and Meaning
417,size,noun,3,Ambiguous,Form and Meaning
96,skill,noun,5,Ambiguous,Form and Meaning
96,skill,noun,5,Ambiguous,Form and Meaning
96,skill,noun,5,Ambiguous,Form and Meaning
96,skill,noun,5,Ambiguous,Form and Meaning
96,skill,noun,5,Ambiguous,Form and Meaning
395,skin,noun,1,Unambiguous,
134,skirt,noun,1,Unambiguous,
478,sky,noun,2,Ambiguous,Form
478,sky,noun,2,Ambiguous,Form
46,slave,noun,4,Ambiguous,Form and Meaning
46,slave,noun,4,Ambiguous,Form and Meaning
46,slave,noun,4,Ambiguous,Form and Meaning
46,slave,verb,4,Ambiguous,Form and Meaning
22,sleeve,noun,3,Ambiguous,Form
22,sleeve,noun,3,Ambiguous,Form
22,sleeve,noun,3,Ambiguous,Form
5,smart,adjective,2,Ambiguous,Form
5,smart,adjective,2,Ambiguous,Form
456,smell,noun,4,Ambiguous,Form and Meaning
456,smell,noun,4,Ambiguous,Form and Meaning
456,smell,verb,4,Ambiguous,Form and Meaning
456,smell,noun,4,Ambiguous,Form and Meaning
200,smoke,verb,3,Ambiguous,Meaning
200,smoke,noun / verb,3,Ambiguous,Meaning
200,smoke,noun,3,Ambiguous,Meaning
321,snake,noun,1,Unambiguous,
290,snow,verb,2,Ambiguous,Meaning
290,snow,noun,2,Ambiguous,Meaning
359,soap,noun,1,Unambiguous,
468,sock,noun,2,Ambiguous,Form
468,sock,noun,2,Ambiguous,Form
550,soil,noun,3,Ambiguous,Form and Meaning
550,soil,noun,3,Ambiguous,Form and Meaning
550,soil,noun,3,Ambiguous,Form and Meaning
125,solution,noun,6,Ambiguous,Form and Meaning
125,solution,noun,6,Ambiguous,Form and Meaning
125,solution,noun,6,Ambiguous,Form and Meaning
125,solution,noun,6,Ambiguous,Form and Meaning
125,solution,noun,6,Ambiguous,Form and Meaning
125,solution,noun,6,Ambiguous,Form and Meaning
23,son,noun,1,Unambiguous,
472,song,noun,3,Ambiguous,Form and Meaning
472,song,noun,3,Ambiguous,Form and Meaning
472,song,noun,3,Ambiguous,Form and Meaning
268,space,noun,1,Unambiguous,
232,speech,noun,3,Ambiguous,Form and Meaning
232,speech,noun,3,Ambiguous,Form and Meaning
232,speech,noun,3,Ambiguous,Form and Meaning
109,spine,noun,1,Unambiguous,
126,spoon,noun,2,Ambiguous,Form
126,spoon,noun,2,Ambiguous,Form
258,stomach,noun,3,Ambiguous,Form and Meaning
258,stomach,noun,3,Ambiguous,Form and Meaning
258,stomach,noun,3,Ambiguous,Form and Meaning
291,stone,noun,2,Ambiguous,Form
291,stone,noun,2,Ambiguous,Form
226,story,noun,1,Unambiguous,
513,straw,noun,2,Ambiguous,Meaning
513,straw,noun,2,Ambiguous,Meaning
447,strawberry,noun,1,Unambiguous,
206,street,noun,3,Ambiguous,Form
206,street,noun,3,Ambiguous,Form
206,street,noun,3,Ambiguous,Form
428,strength,noun,2,Ambiguous,Meaning
428,strength,noun,2,Ambiguous,Meaning
42,sugar,noun,1,Unambiguous,
32,suit,verb,4,Ambiguous,Form and Meaning
32,suit,noun,4,Ambiguous,Form and Meaning
32,suit,noun,4,Ambiguous,Form and Meaning
32,suit,noun,4,Ambiguous,Form and Meaning
467,summer,noun,2,Ambiguous,Form
467,summer,noun,2,Ambiguous,Form
483,sun,noun,2,Ambiguous,Form
483,sun,noun,2,Ambiguous,Form
90,support,noun / verb,1,Unambiguous,
510,surprise,noun,3,Ambiguous,Meaning
510,surprise,noun,3,Ambiguous,Meaning
510,surprise,noun,3,Ambiguous,Meaning
430,sweat,noun,3,Ambiguous,Form and Meaning
430,sweat,noun,3,Ambiguous,Form and Meaning
430,sweat,noun / verb,3,Ambiguous,Form and Meaning
361,tag,noun,2,Ambiguous,Meaning
361,tag,noun,2,Ambiguous,Meaning
433,tail,verb,2,Ambiguous,Meaning
433,tail,noun,2,Ambiguous,Meaning
166,tale,noun,2,Ambiguous,Form
166,tale,noun,2,Ambiguous,Form
139,tall,adjective,2,Ambiguous,Form
139,tall,adjective,2,Ambiguous,Form
284,tap,noun,1,Unambiguous,
153,task,noun,2,Ambiguous,Meaning
153,task,noun,2,Ambiguous,Meaning
191,taste,verb,5,Ambiguous,Form and Meaning
191,taste,verb,5,Ambiguous,Form and Meaning
191,taste,noun,5,Ambiguous,Form and Meaning
191,taste,noun,5,Ambiguous,Form and Meaning
191,taste,noun,5,Ambiguous,Form and Meaning
332,tea,noun,1,Unambiguous,
274,tear,noun,2,Ambiguous,Form
274,tear,noun,2,Ambiguous,Form
452,tension,noun,3,Ambiguous,Form and Meaning
452,tension,noun,3,Ambiguous,Form and Meaning
452,tension,noun,3,Ambiguous,Form and Meaning
420,thief,noun,2,Ambiguous,Form
420,thief,noun,2,Ambiguous,Form
418,thigh,noun,1,Unambiguous,
66,thin,adjective,6,Ambiguous,Form and Meaning
66,thin,adjective,6,Ambiguous,Form and Meaning
66,thin,adjective,6,Ambiguous,Form and Meaning
66,thin,adjective,6,Ambiguous,Form and Meaning
66,thin,adjective,6,Ambiguous,Form and Meaning
66,thin,adjective,6,Ambiguous,Form and Meaning
61,thing,noun,5,Ambiguous,Form and Meaning
61,thing,noun,5,Ambiguous,Form and Meaning
61,thing,noun,5,Ambiguous,Form and Meaning
61,thing,noun,5,Ambiguous,Form and Meaning
61,thing,noun,5,Ambiguous,Form and Meaning
358,thought,noun,2,Ambiguous,Meaning
358,thought,noun,2,Ambiguous,Meaning
370,thread,noun,1,Unambiguous,
142,threat,noun,2,Ambiguous,Meaning
142,threat,noun,2,Ambiguous,Meaning
260,throat,noun,3,Ambiguous,Form
260,throat,noun,3,Ambiguous,Form
260,throat,noun,3,Ambiguous,Form
31,thumb,noun,2,Ambiguous,Form
31,thumb,noun,2,Ambiguous,Form
305,ticket,noun,2,Ambiguous,Form
305,ticket,noun,2,Ambiguous,Form
49,tiger,noun,2,Ambiguous,Form
49,tiger,noun,2,Ambiguous,Form
414,time,noun,1,Unambiguous,
279,tobacco,noun,2,Ambiguous,Form
279,tobacco,noun,2,Ambiguous,Form
174,tongue,noun,2,Ambiguous,Form
174,tongue,noun,2,Ambiguous,Form
437,torch,noun,4,Ambiguous,Form and Meaning
437,torch,noun,4,Ambiguous,Form and Meaning
437,torch,noun,4,Ambiguous,Form and Meaning
437,torch,noun,4,Ambiguous,Form and Meaning
148,tough,adjective,7,Ambiguous,Form and Meaning
148,tough,adjective,7,Ambiguous,Form and Meaning
148,tough,adjective,7,Ambiguous,Form and Meaning
148,tough,adjective,7,Ambiguous,Form and Meaning
148,tough,adjective,7,Ambiguous,Form and Meaning
148,tough,adjective,7,Ambiguous,Form and Meaning
148,tough,adjective,7,Ambiguous,Form and Meaning
545,towel,noun,1,Unambiguous,
283,town,noun,3,Ambiguous,Form
283,town,noun,3,Ambiguous,Form
283,town,noun,3,Ambiguous,Form
63,trade,verb,2,Ambiguous,Meaning
63,trade,noun,2,Ambiguous,Meaning
10,train,noun,2,Ambiguous,Meaning
10,train,verb,2,Ambiguous,Meaning
266,trash,noun,1,Unambiguous,
522,treaty,noun,2,Ambiguous,Meaning
522,treaty,noun,2,Ambiguous,Meaning
555,tree,noun,1,Unambiguous,
280,triangle,noun,2,Ambiguous,Form
280,triangle,noun,2,Ambiguous,Form
316,trousers,noun,3,Ambiguous,Form
316,trousers,noun,3,Ambiguous,Form
316,trousers,noun,3,Ambiguous,Form
287,trunk,noun,3,Ambiguous,Meaning
287,trunk,noun,3,Ambiguous,Meaning
287,trunk,noun,3,Ambiguous,Meaning
544,truth,noun,4,Ambiguous,Meaning
544,truth,noun,4,Ambiguous,Meaning
544,truth,noun,4,Ambiguous,Meaning
544,truth,noun,4,Ambiguous,Meaning
367,turtle,noun,3,Ambiguous,Form
367,turtle,noun,3,Ambiguous,Form
367,turtle,noun,3,Ambiguous,Form
265,twilight,noun,2,Ambiguous,Form
265,twilight,noun,2,Ambiguous,Form
489,twin,noun,2,Ambiguous,Form
489,twin,noun,2,Ambiguous,Form
225,umbrella,noun,3,Ambiguous,Form
225,umbrella,noun,3,Ambiguous,Form
225,umbrella,noun,3,Ambiguous,Form
307,uncle,noun,4,Ambiguous,Form and Meaning
307,uncle,noun,4,Ambiguous,Form and Meaning
307,uncle,noun,4,Ambiguous,Form and Meaning
307,uncle,noun,4,Ambiguous,Form and Meaning
7,unity,noun,3,Ambiguous,Form and Meaning
7,unity,noun,3,Ambiguous,Form and Meaning
7,unity,noun,3,Ambiguous,Form and Meaning
149,utensil,noun,2,Ambiguous,Form
149,utensil,noun,2,Ambiguous,Form
223,vase,noun,1,Unambiguous,
38,vet,noun,1,Unambiguous,
438,victim,noun,4,Ambiguous,Form
438,victim,noun,4,Ambiguous,Form
438,victim,noun,4,Ambiguous,Form
438,victim,noun,4,Ambiguous,Form
308,village,noun,3,Ambiguous,Form
308,village,noun,3,Ambiguous,Form
308,village,noun,3,Ambiguous,Form
94,violin,noun,1,Unambiguous,
34,virtue,noun,4,Ambiguous,Form and Meaning
34,virtue,noun,4,Ambiguous,Form and Meaning
34,virtue,noun,4,Ambiguous,Form and Meaning
34,virtue,noun,4,Ambiguous,Form and Meaning
118,voice,noun,1,Unambiguous,
397,wage,noun,2,Ambiguous,Form
397,wage,noun,2,Ambiguous,Form
386,wages,noun,2,Ambiguous,Form
386,wages,noun,2,Ambiguous,Form
538,wall,noun,2,Ambiguous,Form
538,wall,noun,2,Ambiguous,Form
