ENGLISH_WORD,NUMBER_OF_TRANSLATIONS,AMBIGUITY,AMBIGUITY_SOURCE,AOA,CNC,FAM,CPOS,IMG,KFFRQ,NLET,NPHN,NSYL,LOG_KFREQ,logstl,logcheck,roundq,roundr,
GENTLEMAN,1,Unambiguous,Unambiguous,347,516,537,N,559,28,9,8,3,1.447158031,3.33 ,3.33 ,3.33 ,3.33 ,
GIANT,3,Ambiguous,Both,256,515,469,N,562,23,5,5,2,1.361727836,3.14 ,3.14 ,3.14 ,3.14 ,
GIFT,2,Ambiguous,Meaning,,533,566,N,553,33,4,4,1,1.51851394,3.52 ,3.52 ,3.52 ,3.52 ,
GIRL,1,Unambiguous,Unambiguous,183,607,645,N,634,220,4,3,1,2.342422681,4.45 ,4.45 ,4.45 ,4.45 ,
GLOVE,1,Unambiguous,Unambiguous,228,607,575,N,596,9,5,4,1,0.954242509,2.71 ,2.71 ,2.71 ,2.71 ,
GOLD,5,Ambiguous,Both,,576,550,N,594,52,4,4,1,1.716003344,3.60 ,3.60 ,3.60 ,3.60 ,
GOWN,0,None,None,,586,515,N,578,16,4,3,1,1.204119983,2.53 ,2.53 ,2.53 ,2.53 ,
GRAPE,1,Unambiguous,Unambiguous,297,611,532,N,591,3,5,4,1,0.477121255,2.31 ,2.31 ,2.31 ,2.31 ,
GREENGROCER,0,None,None,,,,N,,,11,9,3,#NUM!,,1.00 ,0.00 ,1.00 ,0
GRIEF,1,Unambiguous,Unambiguous,450,303,505,N,480,10,5,4,1,1,2.74 ,2.74 ,2.74 ,2.74 ,
GROUND,3,Ambiguous,Meaning,258,558,574,NV,513,186,6,5,1,2.269512944,3.57 ,3.57 ,3.57 ,3.57 ,
GRUDGE,1,Unambiguous,Unambiguous,,313,510,NV,373,7,6,4,1,0.84509804,2.36 ,2.36 ,2.36 ,2.36 ,
GUILT,2,Ambiguous,Form,,299,559,N,381,33,5,4,1,1.51851394,2.88 ,2.88 ,2.88 ,2.88 ,
GUITAR,1,Unambiguous,Unambiguous,,,550,N,,19,6,4,2,1.278753601,2.90 ,2.90 ,2.90 ,2.90 ,
GUN,1,Unambiguous,Unambiguous,228,612,519,NV,613,118,3,3,1,2.071882007,4.04 ,4.04 ,4.04 ,4.04 ,
HAIR,1,Unambiguous,Unambiguous,,583,575,N,580,148,4,2,1,2.170261715,3.89 ,3.89 ,3.89 ,3.89 ,
HAND,1,Unambiguous,Unambiguous,,604,601,NV,598,431,4,4,1,2.63447727,4.15 ,4.15 ,4.15 ,4.15 ,
HAT,1,Unambiguous,Unambiguous,,601,580,N,562,56,3,3,1,1.748188027,3.52 ,3.52 ,3.52 ,3.52 ,
HAVEN,0,None,None,,,,N,,11,5,4,2,1.041392685,4.28 ,4.28 ,4.28 ,4.28 ,
HEAD,1,Unambiguous,Unambiguous,181,603,611,NV,593,424,4,3,1,2.627365857,4.28 ,4.28 ,4.28 ,4.28 ,
HEALTH,1,Unambiguous,Unambiguous,400,372,577,N,432,105,6,4,1,2.021189299,3.31 ,3.31 ,3.31 ,3.31 ,
HEART,2,Ambiguous,Form,281,605,578,N,617,173,5,3,1,2.238046103,4.10 ,4.10 ,4.10 ,4.10 ,
HEAT,2,Ambiguous,Meaning,278,472,580,NV,507,97,4,3,1,1.986771734,3.31 ,3.31 ,3.31 ,3.31 ,
HEATHEN,0,None,None,,,,JN,,2,7,5,2,0.301029996,,1.91 ,0.00 ,1.91 ,0
HEDGE,0,None,None,306,615,487,NV,583,2,5,3,1,0.301029996,,1.90 ,0.00 ,1.90 ,0
HEIGHT,3,Ambiguous,Both,294,376,590,N,472,35,6,3,1,1.544068044,2.68 ,2.68 ,2.68 ,2.68 ,
HELL,1,Unambiguous,Unambiguous,314,355,564,N,519,95,4,3,1,1.977723605,4.38 ,4.38 ,4.38 ,4.38 ,
HERB,2,Ambiguous,Form,,558,514,N,502,7,4,3,1,0.84509804,2.41 ,2.41 ,2.41 ,2.41 ,
HERO,1,Unambiguous,Unambiguous,361,428,510,N,483,52,4,4,2,1.716003344,3.41 ,3.41 ,3.41 ,3.41 ,
HOLY,5,Ambiguous,Both,,,,J,,49,4,4,2,1.69019608,3.54 ,3.54 ,3.54 ,3.54 ,
HONESTY,1,Unambiguous,Unambiguous,,278,578,N,386,10,7,6,3,1,2.57 ,2.57 ,2.57 ,2.57 ,
HONEY,6,Ambiguous,Both,286,61,533,N,608,25,5,4,2,1.397940009,4.19 ,4.19 ,4.19 ,4.19 ,
HORSE,1,Unambiguous,Unambiguous,,613,560,N,624,117,5,3,1,2.068185862,3.68 ,3.68 ,3.68 ,3.68 ,
HOSPITAL,1,Unambiguous,Unambiguous,319,584,548,N,602,110,8,7,3,2.041392685,3.80 ,3.80 ,3.80 ,3.80 ,
HOUSE,2,Ambiguous,Form,,608,600,NV,606,591,5,3,1,2.771587481,4.42 ,4.42 ,4.42 ,4.42 ,
HUGE,3,Ambiguous,Form,,,,J,,54,4,4,1,1.73239376,3.39 ,3.39 ,3.39 ,3.39 ,
IMPRESSION,1,Unambiguous,Unambiguous,486,288,554,N,313,45,10,8,3,1.653212514,2.98 ,2.98 ,2.98 ,2.98 ,
INFLUENCE,1,Unambiguous,Unambiguous,542,280,539,NV,270,132,9,8,2,2.120573931,2.88 ,2.88 ,2.88 ,2.88 ,
INFORMATION,2,Ambiguous,Form,397,388,590,N,364,269,11,9,4,2.42975228,3.66 ,3.66 ,3.66 ,3.66 ,
INHABITANT,1,Unambiguous,Unambiguous,469,508,469,N,431,,10,10,4,#NUM!,0.95 ,0.95 ,0.95 ,0.95 ,
INHERITANCE,3,Ambiguous,Meaning,,,,N,,6,11,10,4,0.77815125,2.21 ,2.21 ,2.21 ,2.21 ,
INK,3,Ambiguous,Both,,608,542,NV,589,7,3,3,1,0.84509804,2.58 ,2.58 ,2.58 ,2.58 ,
INNOCENCE,2,Ambiguous,Meaning,478,247,522,N,383,28,9,6,3,1.447158031,2.53 ,2.53 ,2.53 ,2.53 ,
INSECT,3,Ambiguous,Form,283,593,542,N,586,14,6,6,2,1.146128036,2.21 ,2.21 ,2.21 ,2.21 ,
INSIGHT,2,Ambiguous,Meaning,546,270,462,N,329,22,7,5,2,1.342422681,2.16 ,2.16 ,2.16 ,2.16 ,
INTEREST,2,Ambiguous,Meaning,411,305,572,NV,359,330,8,7,2,2.51851394,3.41 ,3.41 ,3.41 ,3.41 ,
IRON,2,Ambiguous,Meaning,281,584,555,NV,561,43,4,3,2,1.633468456,2.96 ,2.96 ,2.96 ,2.96 ,
JAIL,2,Ambiguous,Form,,590,539,N,608,21,4,3,1,1.322219295,3.56 ,3.56 ,3.56 ,3.56 ,
JAR,5,Ambiguous,Both,242,595,564,N,571,16,3,2,1,1.204119983,2.63 ,2.63 ,2.63 ,2.63 ,
JAW,2,Ambiguous,Form,361,617,529,NV,573,16,3,2,1,1.204119983,2.56 ,2.56 ,2.56 ,2.56 ,
JOKE,2,Ambiguous,Meaning,289,388,580,NV,483,22,4,3,1,1.342422681,3.57 ,3.57 ,3.57 ,3.57 ,
JOY,7,Ambiguous,Both,342,300,545,NV,533,40,3,2,1,1.602059991,3.16 ,3.16 ,3.16 ,3.16 ,
JUICE,2,Ambiguous,Meaning,250,599,567,N,593,11,5,3,1,1.041392685,3.14 ,3.14 ,3.14 ,3.14 ,
KING,3,Ambiguous,Both,,559,522,N,585,88,4,3,1,1.944482672,3.82 ,3.82 ,3.82 ,3.82 ,
KITCHEN,2,Ambiguous,Meaning,,,,N,,90,7,6,2,1.954242509,3.47 ,3.47 ,3.47 ,3.47 ,
KNIFE,3,Ambiguous,Both,,612,573,NV,633,76,5,3,1,1.880813592,3.38 ,3.38 ,3.38 ,3.38 ,
KNIGHT,1,Unambiguous,Unambiguous,,579,505,NV,608,18,6,3,1,1.255272505,3.14 ,3.14 ,3.14 ,3.14 ,
LAD,0,None,None,306,548,490,N,534,6,3,3,1,0.77815125,2.87 ,2.87 ,2.87 ,2.87 ,
LADY,2,Ambiguous,Form,231,564,573,N,571,80,4,4,2,1.903089987,4.04 ,4.04 ,4.04 ,4.04 ,
LAMB,3,Ambiguous,Both,186,633,519,NV,614,7,4,3,1,0.84509804,2.73 ,2.73 ,2.73 ,2.73 ,
LANGUAGE,1,Unambiguous,Unambiguous,,,,N,,109,8,7,2,2.037426498,3.25 ,3.25 ,3.25 ,3.25 ,
LAW,3,Ambiguous,Meaning,383,349,562,N,409,299,3,2,1,2.475671188,3.77 ,3.77 ,3.77 ,3.77 ,
LAWN,3,Ambiguous,Form,,588,534,N,608,15,4,3,1,1.176091259,2.80 ,2.80 ,2.80 ,2.80 ,
LEADER,4,Ambiguous,Form,353,487,559,N,502,74,6,4,2,1.86923172,3.20 ,3.20 ,3.20 ,3.20 ,
LEG,1,Unambiguous,Unambiguous,,626,589,NV,601,58,3,3,1,1.763427994,3.46 ,3.46 ,3.46 ,3.46 ,
LEMON,1,Unambiguous,Unambiguous,280,608,518,N,632,18,5,5,2,1.255272505,2.79 ,2.79 ,2.79 ,2.79 ,
LENS,4,Ambiguous,Both,475,573,519,N,556,12,4,4,1,1.079181246,2.38 ,2.38 ,2.38 ,2.38 ,
LESSON,1,Unambiguous,Unambiguous,272,404,559,N,446,29,6,4,2,1.462397998,3.22 ,3.22 ,3.22 ,3.22 ,
LIE,5,Ambiguous,Both,250,357,548,NV,385,59,3,2,1,1.770852012,3.79 ,3.79 ,3.79 ,3.79 ,
LIGHTNING,2,Ambiguous,Form,331,525,465,N,599,14,9,6,2,1.146128036,2.86 ,2.86 ,2.86 ,2.86 ,
LION,2,Ambiguous,Form,244,627,511,N,626,17,4,4,4,1.230448921,2.89 ,2.89 ,2.89 ,2.89 ,
LOAN,1,Unambiguous,Unambiguous,428,372,535,NV,430,46,4,3,1,1.662757832,3.01 ,3.01 ,3.01 ,3.01 ,
LUCK,3,Ambiguous,Both,292,275,587,N,399,47,4,3,1,1.672097858,3.89 ,3.89 ,3.89 ,3.89 ,
MAID,4,Ambiguous,Form,, ,,N,,31,4,3,1,1.491361694,3.07 ,3.07 ,3.07 ,3.07 ,
MAIL,2,Ambiguous,Meaning,,508,554,NV,548,47,4,3,1,1.672097858,3.27 ,3.27 ,3.27 ,3.27 ,
MAJORITY,4,Ambiguous,Both,531,338,546,N,390,57,8,8,4,1.755874856,2.42 ,2.42 ,2.42 ,2.42 ,
MANNER,3,Ambiguous,Both,,297,546,N,342,124,6,4,2,2.093421685,2.77 ,2.77 ,2.77 ,2.77 ,
MAP,1,Unambiguous,Unambiguous,,565,545,NV,587,13,3,3,1,1.113943352,3.21 ,3.21 ,3.21 ,3.21 ,
MASK,2,Ambiguous,Meaning,,,,NV,,9,4,4,1,0.954242509,3.00 ,3.00 ,3.00 ,3.00 ,
MAST,0,None,None,392,576,427,N,558,6,4,4,1,0.77815125,,1.92 ,0.00 ,1.92 ,0
MASTER,4,Ambiguous,Meaning,,498,495,NV,495,72,6,5,2,1.857332496,3.65 ,3.65 ,3.65 ,3.65 ,
MEANING,2,Ambiguous,Meaning,,,,JN,,127,7,5,2,2.103803721,3.28 ,3.28 ,3.28 ,3.28 ,
MEAT,1,Unambiguous,Unambiguous,,587,589,N,618,45,4,3,1,1.653212514,3.35 ,3.35 ,3.35 ,3.35 ,
MEDAL,1,Unambiguous,Unambiguous,,571,494,N,529,7,5,4,2,0.84509804,2.77 ,2.77 ,2.77 ,2.77 ,
MEETING,4,Ambiguous,Both,356,403,575,N,451,159,7,5,2,2.201397124,3.83 ,3.83 ,3.83 ,3.83 ,
MEMORY,3,Ambiguous,Form,,284,573,N,391,76,6,6,3,1.880813592,3.39 ,3.39 ,3.39 ,3.39 ,
MERCY,2,Ambiguous,Meaning,,239,460,N,373,20,5,4,2,1.301029996,3.11 ,3.11 ,3.11 ,3.11 ,
MESSAGE,3,Ambiguous,Both,,459,557,N,438,64,7,5,2,1.806179974,3.67 ,3.67 ,3.67 ,3.67 ,
METAL,1,Unambiguous,Unambiguous,308,582,559,NV,541,61,5,4,2,1.785329835,3.00 ,3.00 ,3.00 ,3.00 ,
METHOD,2,Ambiguous,Form,481,303,556,N,304,142,6,5,2,2.152288344,2.61 ,2.61 ,2.61 ,2.61 ,
MIDDLE,3,Ambiguous,Both,,,,N,,118,6,4,2,2.071882007,3.66 ,3.66 ,3.66 ,3.66 ,
MILE,1,Unambiguous,Unambiguous,314,460,568,N,511,48,4,3,1,1.681241237,3.03 ,3.03 ,3.03 ,3.03 ,
MILL,2,Ambiguous,Form,,,,NV,,11,4,3,1,1.041392685,2.69 ,2.69 ,2.69 ,2.69 ,
MIRROR,1,Unambiguous,Unambiguous,258,605,593,N,627,27,6,4,2,1.431363764,3.09 ,3.09 ,3.09 ,3.09 ,
MODE,2,Ambiguous,Meaning,,,,N,,21,4,3,1,1.322219295,2.42 ,2.42 ,2.42 ,2.42 ,
MONEY,2,Ambiguous,Form,247,574,631,N,604,265,5,4,2,2.423245874,4.51 ,4.51 ,4.51 ,4.51 ,
MONK,2,Ambiguous,Form,,570,401,,606,16,4,,1,1.204119983,2.58 ,2.58 ,2.58 ,2.58 ,
MONKEY,2,Ambiguous,Form,,566,531,N,588,9,6,5,2,0.954242509,3.23 ,3.23 ,3.23 ,3.23 ,
MOON,3,Ambiguous,Form,,581,585,NV,585,60,4,3,1,1.77815125,3.41 ,3.41 ,3.41 ,3.41 ,
MOTHER,3,Ambiguous,Form,144,579,632,NV,638,216,6,4,2,2.334453751,4.39 ,4.39 ,4.39 ,4.39 ,
MOTIVE,1,Unambiguous,Unambiguous,511,255,540,JN,275,22,6,5,2,1.342422681,2.83 ,2.83 ,2.83 ,2.83 ,
MOUNTAIN,1,Unambiguous,Unambiguous,283,616,574,N,629,33,8,6,2,1.51851394,3.26 ,3.26 ,3.26 ,3.26 ,
MOUSE,2,Ambiguous,Form,242,624,520,NV,615,10,5,3,1,1,2.99 ,2.99 ,2.99 ,2.99 ,
MOUSTACHE,3,Ambiguous,Form,,,481,N,,1,9,6,2,0,2.29 ,2.29 ,2.29 ,2.29 ,
MOUTH,3,Ambiguous,Both,,568,572,NV,613,103,5,3,1,2.012837225,3.73 ,3.73 ,3.73 ,3.73 ,
MOVIE,1,Unambiguous,Unambiguous,386,590,523,N,571,29,5,4,2,1.462397998,3.80 ,3.80 ,3.80 ,3.80 ,
MUD,4,Ambiguous,Both,239,605,519,N,582,32,3,3,1,1.505149978,2.88 ,2.88 ,2.88 ,2.88 ,
MULE,2,Ambiguous,Form,339,592,455,N,608,4,4,4,1,0.602059991,2.56 ,2.56 ,2.56 ,2.56 ,
MURDERER,5,Ambiguous,Form,,,,N,,19,8,6,3,1.278753601,3.13 ,3.13 ,3.13 ,3.13 ,
MUSIC,1,Unambiguous,Unambiguous,272,512,599,N,549,216,5,6,2,2.334453751,3.89 ,3.89 ,3.89 ,3.89 ,
NAME,1,Unambiguous,Unambiguous,,405,573,NV,475,294,4,3,1,2.46834733,4.52 ,4.52 ,4.52 ,4.52 ,
NATURE,1,Unambiguous,Unambiguous,342,414,535,N,513,191,6,5,2,2.281033367,3.36 ,3.36 ,3.36 ,3.36 ,
NECESSITY,6,Ambiguous,Both,511,273,521,N,306,40,9,8,4,1.602059991,2.17 ,2.17 ,2.17 ,2.17 ,
NECK,1,Unambiguous,Unambiguous,,587,576,N,622,81,4,3,1,1.908485019,3.48 ,3.48 ,3.48 ,3.48 ,
NEEDLE,1,Unambiguous,Unambiguous,264,608,533,N,589,15,6,4,2,1.176091259,2.78 ,2.78 ,2.78 ,2.78 ,
NEGRO,1,Unambiguous,Unambiguous,,,,N,,104,5,5,2,2.017033339,2.44 ,2.44 ,2.44 ,2.44 ,
NEWSPAPER,1,Unambiguous,Unambiguous,292,576,641,N,616,65,9,8,3,1.812913357,3.08 ,3.08 ,3.08 ,3.08 ,
NICE,3,Ambiguous,Form,,279,583,J,375,75,4,3,1,1.875061263,4.52 ,4.52 ,4.52 ,4.52 ,
NIGHT,4,Ambiguous,Form,222,496,636,N,607,411,5,3,1,2.613841822,4.65 ,4.65 ,4.65 ,4.65 ,
NOBLE,5,Ambiguous,Both,,,410,JN,383,23,5,4,2,1.361727836,2.87 ,2.87 ,2.87 ,2.87 ,
NOISE,2,Ambiguous,Meaning,,,,NV,,37,5,3,1,1.568201724,3.25 ,3.25 ,3.25 ,3.25 ,
NONSENSE,4,Ambiguous,Both,336,256,522,N,349,13,8,7,2,1.113943352,3.16 ,3.16 ,3.16 ,3.16 ,
NOSE,2,Ambiguous,Form,206,628,584,NV,605,60,4,3,1,1.77815125,3.55 ,3.55 ,3.55 ,3.55 ,
NURSE,2,Ambiguous,Meaning,256,588,537,NV,617,17,5,3,1,1.230448921,3.36 ,3.36 ,3.36 ,3.36 ,
OAT,1,Unambiguous,Unambiguous,,553,484,N,499,,3,2,1,#NUM!,1.45 ,1.45 ,1.45 ,1.45 ,
OATH,2,Ambiguous,Form,408,331,402,N,443,6,4,2,1,0.77815125,2.70 ,2.70 ,2.70 ,2.70 ,
ODD,6,Ambiguous,Both,,,,J,,44,3,2,1,1.643452676,3.09 ,3.09 ,3.09 ,3.09 ,
OFFICE,1,Unambiguous,Unambiguous,,569,566,N,518,255,6,4,2,2.40654018,4.02 ,4.02 ,4.02 ,4.02 ,
OPINION,4,Ambiguous,Both,,285,550,N,359,96,7,7,3,1.982271233,3.33 ,3.33 ,3.33 ,3.33 ,
OPPORTUNITY,1,Unambiguous,Unambiguous,475,306,567,N,335,121,11,10,5,2.08278537,3.32 ,3.32 ,3.32 ,3.32 ,
ORDER,7,Ambiguous,Both,344,344,570,NV,352,376,5,3,2,2.575187845,3.90 ,3.90 ,3.90 ,3.90 ,
OWNER,3,Ambiguous,Form,,468,564,N,425,33,5,3,2,1.51851394,3.07 ,3.07 ,3.07 ,3.07 ,
PAINT,3,Ambiguous,Both,,577,551,NV,567,37,5,4,1,1.568201724,3.27 ,3.27 ,3.27 ,3.27 ,
PAIR,5,Ambiguous,Both,,377,544,NV,480,50,4,2,1,1.698970004,3.28 ,3.28 ,3.28 ,3.28 ,
PANIC,2,Ambiguous,Form,,324,546,N,501,22,5,5,2,1.342422681,3.05 ,3.05 ,3.05 ,3.05 ,
PANTS,4,Ambiguous,Both,,619,575,N,630,9,5,4,1,0.954242509,3.48 ,3.48 ,3.48 ,3.48 ,
PART,1,Unambiguous,Unambiguous,314,339,579,NV,340,500,4,3,1,2.698970004,4.13 ,4.13 ,4.13 ,4.13 ,
PASSION,2,Ambiguous,Form,,300,502,N,467,28,7,5,2,1.447158031,3.00 ,3.00 ,3.00 ,3.00 ,
PATIENCE,1,Unambiguous,Unambiguous,403,266,533,N,363,22,8,6,2,1.342422681,2.89 ,2.89 ,2.89 ,2.89 ,
PEA,0,None,None,,614,524,N,568,,3,2,1,#NUM!,2.30 ,2.30 ,2.30 ,2.30 ,
PEACE,1,Unambiguous,Unambiguous,,309,571,N,446,198,5,3,1,2.29666519,3.55 ,3.55 ,3.55 ,3.55 ,
PEACH,2,Ambiguous,Form,292,617,536,N,613,3,5,4,1,0.477121255,2.51 ,2.51 ,2.51 ,2.51 ,
PEAR,2,Ambiguous,Form,,634,567,N,590,6,4,2,1,0.77815125,1.84 ,1.84 ,1.84 ,1.84 ,
PEARL,1,Unambiguous,Unambiguous,,597,508,NV,590,9,5,3,1,0.954242509,2.90 ,2.90 ,2.90 ,2.90 ,
PEN,1,Unambiguous,Unambiguous,,571,554,NV,576,18,3,3,1,1.255272505,3.10 ,3.10 ,3.10 ,3.10 ,
PENCIL,2,Ambiguous,Form,225,617,598,NV,607,34,6,5,2,1.531478917,2.70 ,2.70 ,2.70 ,2.70 ,
PEOPLE,4,Ambiguous,Both,281,540,628,NV,548,847,6,4,2,2.92788341,4.75 ,4.75 ,4.75 ,4.75 ,
PEPPER,1,Unambiguous,Unambiguous,269,591,554,NV,587,13,6,4,2,1.113943352,2.65 ,2.65 ,2.65 ,2.65 ,
PIE,2,Ambiguous,Meaning,,613,576,N,604,14,3,2,1,1.146128036,3.17 ,3.17 ,3.17 ,3.17 ,
PIECE,4,Ambiguous,Meaning,,384,511,NV,395,129,5,3,1,2.11058971,3.80 ,3.80 ,3.80 ,3.80 ,
PIG,1,Unambiguous,Unambiguous,233,614,509,N,635,8,3,3,1,0.903089987,3.30 ,3.30 ,3.30 ,3.30 ,
PIGEON,1,Unambiguous,Unambiguous,325,609,499,N,610,3,6,5,2,0.477121255,2.48 ,2.48 ,2.48 ,2.48 ,
PILE,1,Unambiguous,Unambiguous,,504,521,NV,513,25,4,3,1,1.397940009,2.83 ,2.83 ,2.83 ,2.83 ,
PILLOW,1,Unambiguous,Unambiguous,217,613,602,N,624,8,6,4,2,0.903089987,2.76 ,2.76 ,2.76 ,2.76 ,
PIN,2,Ambiguous,Meaning,261,600,524,NV,576,16,3,3,1,1.204119983,2.92 ,2.92 ,2.92 ,2.92 ,
PINE,2,Ambiguous,Form,,592,557,NV,617,14,4,3,1,1.146128036,2.50 ,2.50 ,2.50 ,2.50 ,
PIPE,3,Ambiguous,Both,,602,535,NV,598,20,4,3,1,1.301029996,3.00 ,3.00 ,3.00 ,3.00 ,
PIRATE,1,Unambiguous,Unambiguous,,,,N,,4,6,6,3,0.602059991,2.58 ,2.58 ,2.58 ,2.58 ,
PITY,2,Ambiguous,Meaning,353,303,516,NV,391,14,4,4,2,1.146128036,3.08 ,3.08 ,3.08 ,3.08 ,
PLAN,1,Unambiguous,Unambiguous,,357,571,NV,379,205,4,4,1,2.311753861,3.87 ,3.87 ,3.87 ,3.87 ,
POLE,2,Ambiguous,Meaning,,577,510,N,579,18,4,3,1,1.255272505,2.81 ,2.81 ,2.81 ,2.81 ,
POLICE,1,Unambiguous,Unambiguous,,,,NV,,155,6,5,2,2.190331698,4.08 ,4.08 ,4.08 ,4.08 ,
POPE,1,Unambiguous,Unambiguous,,593,489,N,576,40,4,3,1,1.602059991,2.74 ,2.74 ,2.74 ,2.74 ,
POSSESSION,4,Ambiguous,Both,469,379,512,N,410,21,10,7,3,1.322219295,2.83 ,2.83 ,2.83 ,2.83 ,
POSSIBILITY,2,Ambiguous,Form,,,,N,,87,11,10,5,1.939519253,3.02 ,3.02 ,3.02 ,3.02 ,
POTATO,1,Unambiguous,Unambiguous,233,629,612,N,617,15,6,6,3,1.176091259,2.76 ,2.76 ,2.76 ,2.76 ,
POUND,2,Ambiguous,Meaning,308,515,618,NV,553,28,5,4,1,1.447158031,2.85 ,2.85 ,2.85 ,2.85 ,
POWER,2,Ambiguous,Form,,325,556,,450,342,5,,2,2.534026106,3.88 ,3.88 ,3.88 ,3.88 ,
POX,1,Unambiguous,Unambiguous,,,,N,,,3,4,1,#NUM!,1.88 ,1.88 ,1.88 ,1.88 ,
PRICE,3,Ambiguous,Both,,,,NV,,108,5,4,1,2.033423755,3.44 ,3.44 ,3.44 ,3.44 ,
PRIDE,1,Unambiguous,Unambiguous,,270,564,N,424,42,5,4,1,1.62324929,3.15 ,3.15 ,3.15 ,3.15 ,
PRINCE,1,Unambiguous,Unambiguous,,542,506,N,606,33,6,5,1,1.51851394,3.36 ,3.36 ,3.36 ,3.36 ,
PRINCIPLE,2,Ambiguous,Meaning,533,245,496,N,305,109,9,8,3,2.037426498,2.60 ,2.60 ,2.60 ,2.60 ,
PROGRESS,4,Ambiguous,Both,,,,NV,,120,8,7,2,2.079181246,3.04 ,3.04 ,3.04 ,3.04 ,
PROMISE,5,Ambiguous,Both,,,598,NV,320,45,7,6,2,1.653212514,3.89 ,3.89 ,3.89 ,3.89 ,
PROOF,3,Ambiguous,Meaning,456,328,546,N,339,40,5,4,1,1.602059991,3.24 ,3.24 ,3.24 ,3.24 ,
PROPOSAL,5,Ambiguous,Meaning,,,,N,,41,8,8,3,1.612783857,2.65 ,2.65 ,2.65 ,2.65 ,
PROTECTION,2,Ambiguous,Meaning,461,308,519,N,410,68,10,9,3,1.832508913,3.08 ,3.08 ,3.08 ,3.08 ,
PUBLIC,6,Ambiguous,Both,400,356,602,JN,448,438,6,6,2,2.641474111,3.56 ,3.56 ,3.56 ,3.56 ,
QUALITY,2,Ambiguous,Meaning,,274,560,N,349,114,7,7,3,2.056904851,2.98 ,2.98 ,2.98 ,2.98 ,
QUARREL,4,Ambiguous,Form,,379,463,NV,479,20,7,6,2,1.301029996,2.46 ,2.46 ,2.46 ,2.46 ,
QUEEN,4,Ambiguous,Form,247,537,527,NV,612,41,5,4,1,1.612783857,3.45 ,3.45 ,3.45 ,3.45 ,
QUESTION,1,Unambiguous,Unambiguous,314,387,588,NV,398,257,8,8,2,2.409933123,4.01 ,4.01 ,4.01 ,4.01 ,
RABBIT,2,Ambiguous,Form,206,635,523,N,611,11,6,5,2,1.041392685,3.03 ,3.03 ,3.03 ,3.03 ,
RAIL,4,Ambiguous,Meaning,,540,505,NV,556,16,4,3,1,1.204119983,2.37 ,2.37 ,2.37 ,2.37 ,
RAIN,2,Ambiguous,Meaning,211,600,604,NV,618,70,4,3,1,1.84509804,3.40 ,3.40 ,3.40 ,3.40 ,
RAW,3,Ambiguous,Both,,399,509,J,470,43,3,2,1,1.633468456,2.72 ,2.72 ,2.72 ,2.72 ,
REASON,2,Ambiguous,Form,383,332,601,NV,285,241,6,4,2,2.382017043,3.99 ,3.99 ,3.99 ,3.99 ,
RECOVERY,3,Ambiguous,Both,,,,N,,29,8,8,4,1.462397998,2.67 ,2.67 ,2.67 ,2.67 ,
REGRET,2,Ambiguous,Meaning,428,260,529,NV,359,9,6,6,2,0.954242509,3.14 ,3.14 ,3.14 ,3.14 ,
RESPECT,2,Ambiguous,Meaning,433,280,571,NV,343,125,7,7,2,2.096910013,3.56 ,3.56 ,3.56 ,3.56 ,
RESULT,1,Unambiguous,Unambiguous,406,318,623,NV,324,244,6,6,2,2.387389826,3.00 ,3.00 ,3.00 ,3.00 ,
REVENGE,3,Ambiguous,Both,467,305,489,NV,429,7,7,6,2,0.84509804,2.99 ,2.99 ,2.99 ,2.99 ,
RHYTHM,2,Ambiguous,Meaning,,,,N,,22,6,5,2,1.342422681,2.75 ,2.75 ,2.75 ,2.75 ,
RICE,3,Ambiguous,Form,,608,548,N,506,33,4,3,1,1.51851394,2.89 ,2.89 ,2.89 ,2.89 ,
RIDDLE,2,Ambiguous,Meaning,,404,489,NV,455,1,6,4,2,0,2.37 ,2.37 ,2.37 ,2.37 ,
RIFLE,3,Ambiguous,Form,322,606,477,NV,581,63,5,4,2,1.799340549,2.87 ,2.87 ,2.87 ,2.87 ,
RIOT,2,Ambiguous,Meaning,456,414,490,NV,548,7,4,4,2,0.84509804,2.52 ,2.52 ,2.52 ,2.52 ,
RIVER,4,Ambiguous,Form,,585,565,N,633,165,5,4,2,2.217483944,3.45 ,3.45 ,3.45 ,3.45 ,
ROAD,4,Ambiguous,Form,206,583,604,N,609,197,4,3,1,2.294466226,3.76 ,3.76 ,3.76 ,3.76 ,
ROOF,3,Ambiguous,Form,,586,552,NV,604,59,4,3,1,1.770852012,3.26 ,3.26 ,3.26 ,3.26 ,
ROOM,3,Ambiguous,Meaning,244,566,627,N,545,383,4,3,1,2.583198774,4.35 ,4.35 ,4.35 ,4.35 ,
ROPE,2,Ambiguous,Form,281,608,539,NV,596,15,4,3,1,1.176091259,3.06 ,3.06 ,3.06 ,3.06 ,
ROSE,1,Unambiguous,Unambiguous,,608,556,NV,623,86,4,3,1,1.934498451,3.43 ,3.43 ,3.43 ,3.43 ,
ROUGH,6,Ambiguous,Both,,452,557,JNV,491,41,5,3,1,1.612783857,3.28 ,3.28 ,3.28 ,3.28 ,
RULE,2,Ambiguous,Meaning,,286,534,NV,415,73,4,3,1,1.86332286,3.39 ,3.39 ,3.39 ,3.39 ,
